Disease,Description
Fungal infection,"A fungal infection affects the skin, nails, or other body parts and is caused by fungi."
Allergy,"An allergy is an immune system reaction to substances such as pollen, dust, foods, or medicines."
GERD,"Gastroesophageal Reflux Disease (GERD) occurs when stomach acid frequently flows back into the esophagus."
Chronic cholestasis,"A liver condition in which bile flow is reduced or blocked, causing itching and jaundice."
Drug Reaction,"An unwanted or harmful reaction caused by taking a medication."
Peptic ulcer disease,"Open sores that develop on the lining of the stomach or upper small intestine."
AIDS,"Acquired Immunodeficiency Syndrome (AIDS) is caused by HIV and weakens the body's immune system."
Diabetes,"A chronic disease in which blood sugar levels become abnormally high due to insulin problems."
Gastroenteritis,"Inflammation of the stomach and intestines, usually caused by infection, leading to diarrhea and vomiting."
Bronchial Asthma,"A chronic lung disease that causes inflammation and narrowing of the airways."
Hypertension,"A condition where blood pressure remains consistently higher than normal."
Migraine,"A neurological disorder causing severe recurring headaches, often with nausea and sensitivity to light."
Cervical spondylosis,"Age-related wear and tear affecting the bones and discs in the neck."
Paralysis (brain hemorrhage),"Loss of muscle function due to bleeding in the brain."
Jaundice,"A condition causing yellowing of the skin and eyes due to high bilirubin levels."
Malaria,"A mosquito-borne infectious disease caused by Plasmodium parasites."
Chicken pox,"A highly contagious viral infection causing itchy blisters and fever."
Dengue,"A mosquito-borne viral disease causing high fever, headache, muscle pain, and rash."
Typhoid,"A bacterial infection caused by Salmonella Typhi, leading to prolonged fever and weakness."
Hepatitis A,"A viral liver infection spread mainly through contaminated food or water."
Hepatitis B,"A serious viral infection that affects the liver and spreads through infected body fluids."
Hepatitis C,"A viral liver disease commonly spread through infected blood."
Hepatitis D,"A liver infection that occurs only in people already infected with Hepatitis B."
Hepatitis E,"A viral liver disease mainly transmitted through contaminated drinking water."
Alcoholic hepatitis,"Inflammation of the liver caused by excessive alcohol consumption."
Tuberculosis,"A bacterial infection that mainly affects the lungs and spreads through the air."
Common Cold,"A mild viral infection affecting the nose and throat."
Pneumonia,"An infection that inflames the air sacs in one or both lungs."
Dimorphic hemorrhoids (piles),"Swollen veins in the rectum or anus causing pain and bleeding."
Heart attack,"A life-threatening condition where blood flow to the heart is blocked."
Varicose veins,"Enlarged, twisted veins usually found in the legs due to poor blood circulation."
Hypothyroidism,"A condition where the thyroid gland does not produce enough thyroid hormone."
Hyperthyroidism,"A condition where the thyroid gland produces too much thyroid hormone."
Hypoglycemia,"A condition in which blood sugar levels fall below normal."
Osteoarthritis,"A degenerative joint disease causing pain, stiffness, and reduced movement."
Arthritis,"Inflammation of one or more joints causing pain, swelling, and stiffness."
Vertigo (Paroxysmal Positional Vertigo),"A condition causing dizziness due to changes in head position."
Acne,"A skin condition caused by clogged hair follicles, leading to pimples and blackheads."
Urinary tract infection,"An infection affecting any part of the urinary system, especially the bladder."
Psoriasis,"A chronic autoimmune skin disease causing red, scaly patches."
Impetigo,"A contagious bacterial skin infection that commonly affects children."
